band	soil
815	0.3025955
816	0.3028234
817	0.3030513
818	0.3032792
819	0.3035071
820	0.303735
821	0.3039555
822	0.304176
823	0.3043965
824	0.304617
825	0.3048375
826	0.305058
827	0.3052785
828	0.305499
829	0.3057195
830	0.30594
831	0.3061618
832	0.3063836
833	0.3066054
834	0.3068272
835	0.307049
836	0.3072708
837	0.3074926
838	0.3077144
839	0.3079362
840	0.308158
841	0.3083655
842	0.308573
843	0.3087805
844	0.308988
845	0.3091955
846	0.309403
847	0.3096105
848	0.309818
849	0.3100255
850	0.310233
851	0.3104323
852	0.3106316
853	0.3108309
854	0.3110302
855	0.3112295
856	0.3114288
857	0.3116281
858	0.3118274
859	0.3120267
860	0.312226
861	0.3124348
862	0.3126436
863	0.3128524
864	0.3130612
865	0.31327
866	0.3134788
867	0.3136876
868	0.3138964
869	0.3141052
870	0.314314
871	0.3145348
872	0.3147556
873	0.3149764
874	0.3151972
875	0.315418
876	0.3156388
877	0.3158596
878	0.3160804
879	0.3163012
880	0.316522
881	0.3167501
882	0.3169782
883	0.3172063
884	0.3174344
885	0.3176625
886	0.3178906
887	0.3181187
888	0.3183468
889	0.3185749
890	0.318803
891	0.3190415
892	0.31928
893	0.3195185
894	0.319757
895	0.3199955
896	0.320234
897	0.3204725
898	0.320711
899	0.3209495
900	0.321188
901	0.3214345
902	0.321681
903	0.3219275
904	0.322174
905	0.3224205
906	0.322667
907	0.3229135
908	0.32316
909	0.3234065
910	0.323653
911	0.3239179
912	0.3241828
913	0.3244477
914	0.3247126
915	0.3249775
916	0.3252424
917	0.3255073
918	0.3257722
919	0.3260371
920	0.326302
921	0.3265777
922	0.3268534
923	0.3271291
924	0.3274048
925	0.3276805
926	0.3279562
927	0.3282319
928	0.3285076
929	0.3287833
930	0.329059
931	0.3293327
932	0.3296064
933	0.3298801
934	0.3301538
935	0.3304275
936	0.3307012
937	0.3309749
938	0.3312486
939	0.3315223
940	0.331796
941	0.3320692
942	0.3323424
943	0.3326156
944	0.3328888
945	0.333162
946	0.3334352
947	0.3337084
948	0.3339816
949	0.3342548
950	0.334528
951	0.3348075
952	0.335087
953	0.3353665
954	0.335646
955	0.3359255
956	0.336205
957	0.3364845
958	0.336764
959	0.3370435
960	0.337323
961	0.3376068
962	0.3378906
963	0.3381744
964	0.3384582
965	0.338742
966	0.3390258
967	0.3393096
968	0.3395934
969	0.3398772
970	0.340161
971	0.3404056
972	0.3406502
973	0.3408948
974	0.3411394
975	0.341384
976	0.3416286
977	0.3418732
978	0.3421178
979	0.3423624
980	0.342607
981	0.3428979
982	0.3431888
983	0.3434797
984	0.3437706
985	0.3440615
986	0.3443524
987	0.3446433
988	0.3449342
989	0.3452251
990	0.345516
991	0.3458083
992	0.3461006
993	0.3463929
994	0.3466852
995	0.3469775
996	0.3472698
997	0.3475621
998	0.3478544
999	0.3481467
1000	0.348439
1001	0.3487337
1002	0.3490284
1003	0.3493231
1004	0.3496178
1005	0.3499125
1006	0.3502072
1007	0.3505019
1008	0.3507966
1009	0.3510913
1010	0.351386
1011	0.3516789
1012	0.3519718
1013	0.3522647
1014	0.3525576
1015	0.3528505
1016	0.3531434
1017	0.3534363
1018	0.3537292
1019	0.3540221
1020	0.354315
1021	0.3546004
1022	0.3548858
1023	0.3551712
1024	0.3554566
1025	0.355742
1026	0.3560274
1027	0.3563128
1028	0.3565982
1029	0.3568836
1030	0.357169
1031	0.3574465
1032	0.357724
1033	0.3580015
1034	0.358279
1035	0.3585565
1036	0.358834
1037	0.3591115
1038	0.359389
1039	0.3596665
1040	0.359944
1041	0.360209
1042	0.360474
1043	0.360739
1044	0.361004
1045	0.361269
1046	0.361534
1047	0.361799
1048	0.362064
1049	0.362329
1050	0.362594
1051	0.3628576
1052	0.3631212
1053	0.3633848
1054	0.3636484
1055	0.363912
1056	0.3641756
